Sample_ID,Longitude,Latitude,Slope (%),Aspect (˚),Elevation (m),NDVI,Land Use,Dist_Main_Road  (m),Dist_Near_Road (m),Dist_Tailing (m),Sand (%),Silt (%),Clay (%),pH,EC (µs/cm),TDS (mg/L),SOM (g/kg),Cu (mg/kg),Zn (mg/kg),Pd (mg/kg)
S75,16.65346,-23.79421,89.968,90.0,1545,0.0725,barren,2588,1440,148,86.7,11.0,2.4,7.9,73,36.0,1.84,63.618,24.769,6.614
S76,16.65305,-23.79441,89.970,135.0,1546,0.0650,barren,2570,1400,143,87.6,9.7,2.7,7.5,116,58.0,2.21,86.128,31.006,7.551
S77,16.65261,-23.79449,89.991,164.1,1547,0.0587,barren,2542,1356,134,87.8,10.5,1.7,7.8,119,60.0,2.07,112.335,30.232,7.787
S78,16.65492,-23.78974,89.987,53.1,1554,0.0733,barren,2435,1631,337,89.2,9.4,1.3,7.7,133,66.0,1.45,17.251,18.152,4.508
S79,16.6548,-23.79014,89.990,308.7,1556,0.0739,barren,2445,1617,316,90.2,7.9,1.9,8.0,124,62.5,1.95,22.176,30.845,5.364
S80,16.65468,-23.79057,89.991,298.3,1557,0.0694,barren,2458,1595,295,90.0,9.2,0.9,7.6,55,27.5,1.22,25.034,20.481,5.563
S81,16.65499,-23.78932,89.992,86.2,1554,0.0722,barren,2419,1636,353,90.8,7.7,1.5,7.2,176,88.0,3.36,36.788,19.39,4.834
S82,16.65503,-23.78892,89.991,26.6,1553,0.0753,barren,2403,1640,371,86.0,11.7,2.2,8.1,54,27.0,2.04,43.341,18.017,5.682
S83,16.6551,-23.78846,89.987,317.0,1550,0.0918,barren,2385,1648,399,92.9,5.2,2.0,8.0,40,19.5,3.50,37.107,20.513,5.533
S84,16.65512,-23.78805,89.985,209.8,1549,0.0877,barren,2366,1653,424,97.5,2.1,0.4,7.7,103,51.5,1.33,35.787,18.543,6.474
S85,16.65504,-23.78767,89.985,14.0,1548,0.0643,barren,2340,1648,442,89.9,8.9,1.2,7.8,130,65.5,1.87,521.447,26.655,17.895
S86,16.65466,-23.79132,89.975,258.7,1556,0.0681,barren,2500,1579,278,90.3,8.1,1.6,7.4,62,31.0,2.73,51.764,25.345,6.417
S87,16.65464,-23.79104,89.987,233.1,1556,0.0664,barren,2482,1582,282,89.6,8.7,1.7,7.9,85,42.0,2.68,26.522,26.43,5.799
S88,16.65349,-23.79673,89.991,270.0,1539,0.0668,barren,2776,1484,397,88.6,9.3,2.2,8.3,130,65.0,2.40,24.127,22.052,4.598
S89,16.65302,-23.79683,89.987,341.6,1536,0.0719,barren,2748,1440,388,92.1,6.5,1.4,8.3,65,32.5,1.69,23.513,17.311,4.486
S90,16.65259,-23.79689,89.986,26.6,1537,0.0652,barren,2721,1400,377,91.4,6.6,2.0,8.3,107,53.5,2.69,34.476,27.203,4.418
S91,16.65213,-23.797,89.910,225.0,1537,0.0687,barren,2696,1358,369,91.1,7.3,1.6,8.2,68,34.0,1.08,15.705,22.506,5.393
S92,16.65115,-23.79695,89.989,180.0,1536,0.0690,barren,2602,1261,324,87.3,10.2,2.5,7.6,191,95.0,2.01,43.658,16.021,5.399
S93,16.63578,-23.79051,89.992,330.3,1543,0.0682,residential,894,21,703,84.6,14.1,1.4,7.8,113,56.5,3.18,499.081,72.544,11.335
S94,16.63535,-23.7906,89.993,347.5,1541,0.0692,residential,855,38,742,84.1,13.5,2.3,8.4,197,98.5,3.58,37.994,27.147,5.497
S95,16.63492,-23.79074,89.992,190.3,1544,0.0692,residential,818,37,780,89.0,8.8,2.1,8.0,172,85.5,3.75,57.721,26.161,4.973
S96,16.63447,-23.79081,89.992,315.0,1543,0.0759,residential,776,44,823,87.9,9.6,2.5,7.8,150,75.0,1.68,48.77,22.239,4.545
S97,16.63402,-23.79099,89.986,333.4,1542,0.0669,residential,738,39,864,82.5,15.6,1.9,8.6,272,136.0,2.43,33.397,22.823,5.270
S98,16.63361,-23.7911,89.977,315.0,1541,0.0699,residential,702,40,904,88.2,10.1,1.7,8.4,143,71.0,1.08,102.606,20.621,8.503
S99,16.63326,-23.79084,89.987,288.4,1541,0.0746,residential,659,48,944,84.6,13.1,2.2,8.3,297,148.5,2.33,98.168,33.633,22.109
S100,16.63316,-23.79039,89.910,45.0,1539,0.0614,residential,635,3,964,83.1,12.8,4.1,7.8,1490,745.0,2.02,15.872,18.994,4.741
S101,16.63362,-23.79027,89.993,339.4,1540,0.0594,residential,675,12,922,80.6,16.9,2.5,8.4,154,76.5,2.15,39.91,22.124,7.422
S102,16.63405,-23.7901,89.985,284.0,1540,0.0622,residential,712,15,885,79.6,15.6,4.8,8.8,268,134.0,2.67,33.34,20.815,6.208
S103,16.63317,-23.78972,89.991,81.9,1538,0.1126,residential,613,62,983,84.8,13.8,1.4,8.2,170,85.0,2.02,24.362,29.416,8.293
S104,16.63278,-23.78956,89.986,63.4,1539,0.1062,residential,570,41,1026,88.5,11.0,0.5,8.0,259,129.5,2.52,18.921,26.123,8.809
S105,16.63244,-23.7901,89.979,180.0,1541,0.0822,residential,555,51,1043,90.2,8.5,1.3,10.1,1515,758.0,2.28,35.81,50.214,19.192
S106,16.632,-23.79036,89.977,135.0,1539,0.0682,residential,521,25,1080,89.9,9.1,1.0,8.2,1223,610.5,2.79,24.266,76.589,21.148
S107,16.63159,-23.79059,89.988,111.8,1540,0.0523,residential,488,15,1116,80.5,17.2,2.2,8.0,133,66.5,1.53,11.436,30.837,8.813
S108,16.63123,-23.79075,89.960,108.4,1542,0.0509,residential,459,21,1149,81.8,16.0,2.1,7.6,1094,547.0,1.91,46.966,19.033,5.731
S109,16.63076,-23.79094,89.936,90.0,1542,0.0627,residential,419,16,1194,89.2,9.0,1.8,7.8,176,87.5,2.37,84.181,56.172,44.912
S110,16.63031,-23.79118,89.960,108.4,1542,0.0717,residential,383,6,1236,87.4,9.7,2.9,7.8,174,87.0,2.71,26.106,22.893,6.894
S111,16.629914,-23.791313,89.992,50.2,1543,0.0639,residential,349,7,1274,89.1,1.6,9.3,7.8,135,67.5,1.61,19.526,42.374,10.842
S112,16.629513,-23.791463,89.979,281.2,1545,0.0610,residential,315,6,1314,89.2,8.8,2.0,7.7,160,79.5,1.85,19.636,31.981,7.324
